"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"3623";"51001012175P9";NA;NA;NA;NA;NA;NA;8;0;0;0;0;0;0;0
"3624";"51002019002P3";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";1994;"ACADÊMICO";"4";11;0;0;0;0;0;0;0
"3625";"51002019003P0";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";1998;"ACADÊMICO";"4";13;1;0;3;0,0769230769230769;0;0,230769230769231;0,102564102564103
"3626";"51002019004P6";"PSICOLOGIA";"PARTICULAR";"PRIVADA";1997;"ACADÊMICO";"4";13;0;0;0;0;0;0;0
"3627";"51002019005P2";"BIOTECNOLOGIA";"PARTICULAR";"PRIVADA";2006;"ACADÊMICO";"3";14;9;1;1;0,642857142857143;0,0714285714285714;0,0714285714285714;0,261904761904762
"3628";"51002019006P9";"CIÊNCIAS AMBIENTAIS";"PARTICULAR";"PRIVADA";2012;"ACADÊMICO";"4";15;3;1;8;0,2;0,0666666666666667;0,533333333333333;0,266666666666667
"3629";"51003015001P3";"CIÊNCIAS AMBIENTAIS";"PARTICULAR";"PRIVADA";2002;"ACADÊMICO";"4";13;0;1;0;0;0,0769230769230769;0;0,0256410256410256
"3630";"51003015002P0";"CIÊNCIAS AGRÁRIAS I";"PARTICULAR";"PRIVADA";2002;"PROFISSIONAL";"3";14;0;1;3;0;0,0714285714285714;0,214285714285714;0,0952380952380952
"3631";"51004011001P0";"CIÊNCIAS AGRÁRIAS I";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"4";15;0;0;0;0;0;0;0
"3632";"51004011002P6";"CIÊNCIAS AMBIENTAIS";"ESTADUAL";"PÚBLICA";2010;"ACADÊMICO";"3";18;0;0;0;0;0;0;0
"3633";"51004011003P2";"ZOOTECNIA / RECURSOS PESQUEIROS";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"3634";"51004011004P9";"EDUCAÇÃO";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"3635";"51004011005P5";"LETRAS / LINGUÍSTICA";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";29;0;0;0;0;0;0;0
"3636";"51004011006P1";"EDUCAÇÃO";"ESTADUAL";"PÚBLICA";2013;"PROFISSIONAL";"3";20;0;0;1;0;0;0,05;0,0166666666666667
"3637";"51004011007P8";"CIÊNCIAS AGRÁRIAS I";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";12;0;2;0;0;0,166666666666667;0;0,0555555555555556
"3638";"51004011009P0";"ENSINO";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"3";15;0;2;0;0;0,133333333333333;0;0,0444444444444444
"3639";"51004011010P9";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"3640";"51004011070P1";"ENSINO";"ESTADUAL";"PÚBLICA";2015;"PROFISSIONAL";"3";17;0;0;0;0;0;0;0
"3641";"51005018001P6";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"5";19;0;0;0;0;0;0;0
"3642";"51005018002P2";"HISTÓRIA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";21;0;0;0;0;0;0;0
"3643";"51005018003P9";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";14;0;0;0;0;0;0;0
"3644";"51005018004P5";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";16;0;0;0;0;0;0;0
"3645";"51005018005P1";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";17;0;0;0;0;0;0;0
"3646";"51005018006P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";18;4;0;0;0,222222222222222;0;0;0,0740740740740741
"3647";"51005018007P4";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";16;0;0;0;0;0;0;0
"3648";"51005018008P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"3649";"51005018009P7";"MEDICINA II";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";14;6;0;0;0,428571428571429;0;0;0,142857142857143
"3650";"51005018010P5";"QUÍMICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";19;5;0;0;0,263157894736842;0;0;0,087719298245614
"3651";"51005018011P1";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";13;0;0;0;0;0;0;0
"3652";"51005018012P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";15;0;0;2;0;0;0,133333333333333;0,0444444444444444
"3653";"51005018013P4";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";10;0;0;0;0;0;0;0
"3654";"51005018014P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"3655";"51005018015P7";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";11;0;0;0;0;0;0;0
"3656";"51005018101P0";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"3657";"51005018170P2";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"3658";"51005018171P9";"CIÊNCIA DE ALIMENTOS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";11;1;0;0;0,0909090909090909;0;0;0,0303030303030303
"3659";"51005018172P5";NA;NA;NA;NA;NA;NA;22;0;0;0;0;0;0;0
"3660";"51020009001P2";"MEDICINA I";"PARTICULAR";"PRIVADA";2016;"PROFISSIONAL";"3";18;0;0;0;0;0;0;0
"3661";"52001016001P3";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";23;0;0;0;0;0;0;0
"3662";"52001016002P0";"HISTÓRIA";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";29;0;0;0;0;0;0;0
"3663";"52001016003P6";"MEDICINA II";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";25;1;0;1;0,04;0;0,04;0,0266666666666667
"3664";"52001016004P2";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"3";37;0;0;0;0;0;0;0
"3665";"52001016005P9";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";1980;"ACADÊMICO";"4";17;3;0;0;0,176470588235294;0;0;0,0588235294117647
"3666";"52001016006P5";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"4";36;0;0;0;0;0;0;0
"3667";"52001016007P1";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"5";28;0;0;0;0;0;0;0
"3668";"52001016009P4";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";29;3;0;0;0,103448275862069;0;0;0,0344827586206897
"3669";"52001016011P9";"FILOSOFIA";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"4";20;0;0;0;0;0;0;0
"3670";"52001016012P5";"GEOGRAFIA";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"6";30;0;0;0;0;0;0;0
"3671";"52001016013P1";"ARTES / MÚSICA";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"3";13;0;1;1;0;0,0769230769230769;0,0769230769230769;0,0512820512820513
"3672";"52001016014P8";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";23;7;0;7;0,304347826086957;0;0,304347826086957;0,202898550724638
"3673";"52001016018P3";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";11;4;0;3;0,363636363636364;0;0,272727272727273;0,212121212121212
"3674";"52001016019P0";"QUÍMICA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";31;17;0;0;0,548387096774194;0;0;0,182795698924731
"3675";"52001016020P8";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";13;0;0;0;0;0;0;0
"3676";"52001016022P0";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"5";17;4;0;0;0,235294117647059;0;0;0,0784313725490196
"3677";"52001016023P7";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";24;0;0;0;0;0;0;0
"3678";"52001016024P3";"ARTES / MÚSICA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";12;0;0;0;0;0;0;0
"3679";"52001016025P0";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";17;0;0;0;0;0;0;0
"3680";"52001016026P6";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"6";20;0;0;1;0;0;0,05;0,0166666666666667
"3681";"52001016027P2";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";33;0;0;7;0;0;0,212121212121212;0,0707070707070707
"3682";"52001016029P5";"CIÊNCIA DE ALIMENTOS";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";13;20;4;0;1;0,307692307692308;0;0,435897435897436
"3683";"52001016031P0";"FARMÁCIA";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";15;14;3;1;0,933333333333333;0,2;0,0666666666666667;0,4
"3684";"52001016032P6";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";18;1;0;0;0,0555555555555556;0;0;0,0185185185185185
"3685";"52001016033P2";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";14;1;3;1;0,0714285714285714;0,214285714285714;0,0714285714285714;0,119047619047619
"3686";"52001016034P9";"MEDICINA II";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";54;3;0;0;0,0555555555555556;0;0;0,0185185185185185
"3687";"52001016036P1";"ENSINO";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";18;0;0;0;0;0;0;0
"3688";"52001016037P8";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";13;0;0;1;0;0;0,0769230769230769;0,0256410256410256
"3689";"52001016039P0";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"3690";"52001016041P5";"DIREITO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";13;0;1;0;0;0,0769230769230769;0;0,0256410256410256
"3691";"52001016042P1";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";13;0;0;0;0;0;0;0
"3692";"52001016043P8";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";18;0;0;0;0;0;0;0
"3693";"52001016044P4";"NUTRIÇÃO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";12;1;0;0;0,0833333333333333;0;0;0,0277777777777778
"3694";"52001016045P0";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";16;0;0;1;0;0;0,0625;0,0208333333333333
"3695";"52001016046P7";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";19;0;1;0;0;0,0526315789473684;0;0,0175438596491228
"3696";"52001016047P3";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";14;0;0;0;0;0;0;0
"3697";"52001016048P0";"FARMÁCIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";13;36;7;0;1;0,538461538461538;0;0,512820512820513
"3698";"52001016049P6";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";18;0;0;0;0;0;0;0
"3699";"52001016050P4";"QUÍMICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";15;0;1;0;0;0,0666666666666667;0;0,0222222222222222
"3700";"52001016051P0";"ENSINO";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";12;0;0;0;0;0;0;0
"3701";"52001016052P7";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"3702";"52001016053P3";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";22;0;0;0;0;0;0;0
"3703";"52001016054P0";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"3704";"52001016055P6";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";15;0;0;0;0;0;0;0
"3705";"52001016056P2";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";17;2;0;0;0,117647058823529;0;0;0,0392156862745098
"3706";"52001016057P9";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";21;0;0;0;0;0;0;0
"3707";"52001016058P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";20;0;0;0;0;0;0;0
"3708";"52001016059P1";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";15;0;0;3;0;0;0,2;0,0666666666666667
"3709";"52001016060P0";"ENSINO";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";22;0;2;1;0;0,0909090909090909;0,0454545454545455;0,0454545454545454
"3710";"52001016061P6";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";16;5;0;2;0,3125;0;0,125;0,145833333333333
"3711";"52001016062P2";"FARMÁCIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";28;34;3;1;1;0,107142857142857;0,0357142857142857;0,380952380952381
"3712";"52001016063P9";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";22;0;0;0;0;0;0;0
"3713";"52001016064P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";12;0;1;10;0;0,0833333333333333;0,833333333333333;0,305555555555556
"3714";"52001016065P1";"ARQUITETURA, URBANISMO E DESIGN";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";13;0;0;0;0;0;0;0
"3715";"52001016066P8";"HISTÓRIA";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";12;0;0;0;0;0;0;0
"3716";"52001016067P4";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";12;2;0;0;0,166666666666667;0;0;0,0555555555555556
"3717";"52001016068P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";13;0;0;1;0;0;0,0769230769230769;0,0256410256410256
"3718";"52001016069P7";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";12;2;0;0;0,166666666666667;0;0;0,0555555555555556
"3719";"52001016070P5";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"4";21;0;0;1;0;0;0,0476190476190476;0,0158730158730159
"3720";"52001016071P1";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"3721";"52001016072P8";"FARMÁCIA";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";17;11;0;0;0,647058823529412;0;0;0,215686274509804
"3722";"52001016101P8";"ECONOMIA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"3723";"52001016102P4";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";11;0;0;0;0;0;0;0
"3724";"52001016103P0";"MATERIAIS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"4";16;0;0;0;0;0;0;0
