"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"2245";"41002016163P9";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"4";0,638888888888889;1;0,661231884057971;0,602564102564103;0,725671218877741
"2246";"41002016164P5";"CIÊNCIA DE ALIMENTOS";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,833333333333333;0,770833333333333;0,814814814814815;0,613461538461539;0,758110754985755
"2247";"41004019001P1";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";1999;"ACADÊMICO";"4";0,8;0,525;0,537564499484004;0,548245614035088;0,602702528379773
"2248";"41004019002P8";"ENGENHARIAS II";"PARTICULAR";"PRIVADA";2006;"ACADÊMICO";"3";0,481481481481481;0,71875;0,463858225108225;0,591666666666667;0,563939093314093
"2249";"41004019003P4";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2008;"ACADÊMICO";"3";0,861111111111111;0,8125;0,583922955974843;0,463725490196078;0,680314889320508
"2250";"41004019004P0";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";2011;"ACADÊMICO";"3";0,466666666666667;0,5;0,569444444444444;0,400833333333333;0,484236111111111
"2251";"41004019005P7";"ARQUITETURA, URBANISMO E DESIGN";"PARTICULAR";"PRIVADA";2013;"PROFISSIONAL";"3";0,7;0,535714285714286;0,58695652173913;0,493939393939394;0,579152550348203
"2252";"41005015001P8";"DIREITO";"PARTICULAR";"PRIVADA";1995;"ACADÊMICO";"5";0,24;0,2;0,458333333333333;0,40297619047619;0,325327380952381
"2253";"41005015002P4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PARTICULAR";"PRIVADA";1997;"ACADÊMICO";"5";0,692307692307692;0,651162790697674;0,598809523809524;0,459444444444444;0,600431112814834
"2254";"41005015003P0";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";2000;"ACADÊMICO";"4";0,472222222222222;0,558823529411765;0,563717532467533;0,341666666666667;0,484107487692046
