CD_PROGRAMA_IES;NM_REGIAO;SG_UF_PROGRAMA;SG_ENTIDADE_ENSINO;NM_MUNICIPIO_PROGRAMA_IES;NM_AREA_CONHECIMENTO
28007018012P5;NORDESTE;BA;UESC;ILHÉUS;MATERIAIS
28007018013P1;NORDESTE;BA;UESC;ILHÉUS;BOTÂNICA
28007018014P8;NORDESTE;BA;UESC;ILHÉUS;ENSINO
28007018015P4;NORDESTE;BA;UESC;ILHÉUS;INTERDISCIPLINAR
28007018016P0;NORDESTE;BA;UESC;ILHÉUS;INTERDISCIPLINAR
28007018017P7;NORDESTE;BA;UESC;ILHÉUS;EDUCAÇÃO
28007018018P3;NORDESTE;BA;UESC;ILHÉUS;ENSINO
28007018019P0;NORDESTE;BA;UESC;ILHÉUS;QUÍMICA
28007018075P7;NORDESTE;BA;UESC;ILHÉUS;MEDICINA
28008014002P6;NORDESTE;BA;EBMSP;SALVADOR;MEDICINA
28008014003P2;NORDESTE;BA;EBMSP;SALVADOR;ODONTOLOGIA
28008014004P9;NORDESTE;BA;EBMSP;SALVADOR;MEDICINA
28010019065P9;NORDESTE;BA;IFBA;SALVADOR;INTERDISCIPLINAR
28013018001P0;NORDESTE;BA;UNIFACS;SALVADOR;PLANEJAMENTO URBANO E REGIONAL
28013018003P2;NORDESTE;BA;UNIFACS;SALVADOR;INTERDISCIPLINAR
28013018004P9;NORDESTE;BA;UNIFACS;SALVADOR;ADMINISTRAÇÃO
28013018005P5;NORDESTE;BA;UNIFACS;SALVADOR;CIÊNCIA DA COMPUTAÇÃO
28013018062P9;NORDESTE;BA;UNIFACS;SALVADOR;INTERDISCIPLINAR
28022017001P5;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;AGRONOMIA
28022017002P1;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;AGRONOMIA
28022017003P8;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;AGRONOMIA
28022017004P4;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;ZOOTECNIA
28022017005P0;NORDESTE;BA;UFRB;CACHOEIRA;SOCIOLOGIA
28022017006P7;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;AGRONOMIA
28022017007P3;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;AGRONOMIA
28022017008P0;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;CIÊNCIA POLÍTICA
28022017009P6;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;ENGENHARIA AGRÍCOLA
28022017010P4;NORDESTE;BA;UFRB;AMARGOSA;EDUCAÇÃO
28022017011P0;NORDESTE;BA;UFRB;CRUZ DAS ALMAS;HISTÓRIA
28023013001P1;NORDESTE;BA;CIMATEC;SALVADOR;INTERDISCIPLINAR
28023013002P8;NORDESTE;BA;CIMATEC;SALVADOR;INTERDISCIPLINAR
28024010001P1;NORDESTE;BA;FTC;SALVADOR;INTERDISCIPLINAR
28025016001P4;NORDESTE;BA;CPQGM;SALVADOR;MEDICINA
28048016001P7;NORDESTE;BA;FAMAM;GOVERNADOR MANGABEIRA;CIÊNCIAS AMBIENTAIS
28049012001P3;NORDESTE;BA;UFOB;BARREIRAS;CIÊNCIAS AMBIENTAIS
28049012002P0;NORDESTE;BA;UFOB;BARREIRAS;QUÍMICA
29002001001P9;NORDESTE;BA;IFBAIANO;SALVADOR;AGRONOMIA
29010004001P8;NORDESTE;BA;FG;GUANAMBI;DIREITO
30001013001P1;SUDESTE;ES;UFES;VITÓRIA;EDUCAÇÃO
30001013002P8;SUDESTE;ES;UFES;VITÓRIA;FISIOLOGIA
30001013003P4;SUDESTE;ES;UFES;VITÓRIA;ENGENHARIA SANITÁRIA
30001013004P0;SUDESTE;ES;UFES;VITÓRIA;ENGENHARIA ELÉTRICA
30001013005P7;SUDESTE;ES;UFES;VITÓRIA;FÍSICA
30001013006P3;SUDESTE;ES;UFES;VITÓRIA;PSICOLOGIA
30001013007P0;SUDESTE;ES;UFES;VITÓRIA;CIÊNCIA DA COMPUTAÇÃO
30001013008P6;SUDESTE;ES;UFES;VITÓRIA;ECONOMIA
30001013010P0;SUDESTE;ES;UFES;VITÓRIA;MEDICINA
30001013011P7;SUDESTE;ES;UFES;VITÓRIA;ENGENHARIA MECÂNICA
30001013012P3;SUDESTE;ES;UFES;VITÓRIA;ENGENHARIA CIVIL
30001013013P0;SUDESTE;ES;UFES;VITÓRIA;LETRAS
30001013014P6;SUDESTE;ES;UFES;VITÓRIA;ZOOLOGIA
30001013015P2;SUDESTE;ES;UFES;VITÓRIA;ADMINISTRAÇÃO
30001013016P9;SUDESTE;ES;UFES;VITÓRIA;AGRONOMIA
30001013017P5;SUDESTE;ES;UFES;VITÓRIA;HISTÓRIA
30001013018P1;SUDESTE;ES;UFES;VITÓRIA;SAÚDE COLETIVA
30001013019P8;SUDESTE;ES;UFES;VITÓRIA;AGRONOMIA
30001013020P6;SUDESTE;ES;UFES;VITÓRIA;SERVIÇO SOCIAL
30001013021P2;SUDESTE;ES;UFES;VITÓRIA;QUÍMICA
30001013022P9;SUDESTE;ES;UFES;VITÓRIA;LINGÜÍSTICA
30001013023P5;SUDESTE;ES;UFES;VITÓRIA;MATEMÁTICA
30001013024P1;SUDESTE;ES;UFES;VITÓRIA;ARTES
30001013025P8;SUDESTE;ES;UFES;VITÓRIA;EDUCAÇÃO FÍSICA
30001013026P4;SUDESTE;ES;UFES;VITÓRIA;ODONTOLOGIA
30001013027P0;SUDESTE;ES;UFES;VITÓRIA;DIREITO
30001013028P7;SUDESTE;ES;UFES;VITÓRIA;PSICOLOGIA
30001013029P3;SUDESTE;ES;UFES;VITÓRIA;BIOTECNOLOGIA
30001013030P1;SUDESTE;ES;UFES;VITÓRIA;ARQUITETURA E URBANISMO
30001013031P8;SUDESTE;ES;UFES;VITÓRIA;CIÊNCIAS AMBIENTAIS
30001013032P4;SUDESTE;ES;UFES;JERÔNIMO MONTEIRO;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL
30001013033P0;SUDESTE;ES;UFES;ALEGRE;MEDICINA VETERINÁRIA
30001013034P7;SUDESTE;ES;UFES;VITÓRIA;GEOGRAFIA
30001013035P3;SUDESTE;ES;UFES;VITÓRIA;SOCIOLOGIA
30001013036P0;SUDESTE;ES;UFES;VITÓRIA;ENGENHARIA SANITÁRIA
30001013037P6;SUDESTE;ES;UFES;VITÓRIA;FILOSOFIA
30001013040P7;SUDESTE;ES;UFES;SÃO MATEUS;ECOLOGIA
30001013041P3;SUDESTE;ES;UFES;VITÓRIA;ADMINISTRAÇÃO
30001013042P0;SUDESTE;ES;UFES;SÃO MATEUS;AGRONOMIA
30001013043P6;SUDESTE;ES;UFES;VITÓRIA;MEDICINA
30001013044P2;SUDESTE;ES;UFES;VITÓRIA;ENSINO
30001013045P9;SUDESTE;ES;UFES;VITÓRIA;ADMINISTRAÇÃO
30001013046P5;SUDESTE;ES;UFES;ALEGRE;CIÊNCIA E TECNOLOGIA DE ALIMENTOS
30001013047P1;SUDESTE;ES;UFES;SÃO MATEUS;INTERDISCIPLINAR
30001013048P8;SUDESTE;ES;UFES;VITÓRIA;ENFERMAGEM
30001013049P4;SUDESTE;ES;UFES;VITÓRIA;FARMACOLOGIA
30001013053P1;SUDESTE;ES;UFES;ALEGRE;AGRONOMIA
30001013054P8;SUDESTE;ES;UFES;ALEGRE;ENGENHARIA QUÍMICA
30001013055P4;SUDESTE;ES;UFES;SÃO MATEUS;ENSINO
30001013056P0;SUDESTE;ES;UFES;VITÓRIA;FARMÁCIA
30001013057P7;SUDESTE;ES;UFES;VITÓRIA;COMUNICAÇÃO
30001013103P9;SUDESTE;ES;UFES;VITÓRIA;NUTRIÇÃO
30001013104P5;SUDESTE;ES;UFES;ALEGRE;AGRONOMIA
30001013105P1;SUDESTE;ES;UFES;VITÓRIA;ASTRONOMIA
30001013106P8;SUDESTE;ES;UFES;ALEGRE;ENSINO
30004012001P0;SUDESTE;ES;IFES;VITÓRIA;ENGENHARIA DE MATERIAIS E METALÚRGICA
30004012002P7;SUDESTE;ES;IFES;VITÓRIA;ENSINO
30004012070P2;SUDESTE;ES;IFES;SERRA;ENGENHARIA ELÉTRICA
30004012071P9;SUDESTE;ES;IFES;VITÓRIA;INTERDISCIPLINAR
30004012072P5;SUDESTE;ES;IFES;VITÓRIA;ENSINO
30004012073P1;SUDESTE;ES;IFES;ALEGRE;AGRONOMIA
30007011001P0;SUDESTE;ES;FUCAPE;VITÓRIA;ADMINISTRAÇÃO
30007011002P6;SUDESTE;ES;FUCAPE;VITÓRIA;ADMINISTRAÇÃO
30007011003P2;SUDESTE;ES;FUCAPE;VITÓRIA;ADMINISTRAÇÃO
30010012001P7;SUDESTE;ES;FDV;VITÓRIA;DIREITO
30011019001P3;SUDESTE;ES;UVV;VILA VELHA;ECOLOGIA
30011019002P0;SUDESTE;ES;UVV;VILA VELHA;MEDICINA VETERINÁRIA
30011019003P6;SUDESTE;ES;UVV;VILA VELHA;FARMÁCIA
30011019005P9;SUDESTE;ES;UVV;VILA VELHA;SOCIOLOGIA
30011019006P5;SUDESTE;ES;UVV;VILA VELHA;INTERDISCIPLINAR
30013011001P6;SUDESTE;ES;EMESCAM;VITÓRIA;SERVIÇO SOCIAL
30014018001P2;SUDESTE;ES;FUV;VITÓRIA;TEOLOGIA
30015014001P9;SUDESTE;ES;FVC;SÃO MATEUS;INTERDISCIPLINAR
30015014002P5;SUDESTE;ES;FVC;SÃO MATEUS;INTERDISCIPLINAR
31001017001P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;EDUCAÇÃO
31001017002P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;FÍSICA
31001017003P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MATEMÁTICA
31001017004P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;CIÊNCIA DA COMPUTAÇÃO
31001017005P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;PROBABILIDADE E ESTATÍSTICA
31001017006P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;QUÍMICA
31001017008P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA DE MATERIAIS E METALÚRGICA
31001017009P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;QUÍMICA
31001017011P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;GEOCIÊNCIAS
31001017012P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;BIOFÍSICA
31001017013P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;BIOTECNOLOGIA
31001017014P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;BOTÂNICA
31001017015P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;FARMACOLOGIA
31001017016P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;GENÉTICA
31001017017P8;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MICROBIOLOGIA
31001017019P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ZOOLOGIA
31001017020P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;SOCIOLOGIA
31001017021P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ANTROPOLOGIA
31001017022P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;FILOSOFIA
31001017023P8;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;HISTÓRIA
31001017024P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;GEOGRAFIA
31001017025P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ECONOMIA
31001017027P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA BIOMÉDICA
31001017028P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA CIVIL
31001017029P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA ELÉTRICA
31001017030P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA MECÂNICA
31001017031P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA DE MATERIAIS E METALÚRGICA
31001017032P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA NAVAL E OCEÂNICA
31001017033P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA NUCLEAR
31001017035P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA DE PRODUÇÃO
31001017036P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA QUÍMICA
31001017037P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA QUÍMICA
31001017038P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA DE TRANSPORTES
31001017040P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017041P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017044P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017048P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017049P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017056P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017057P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017059P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ODONTOLOGIA
31001017060P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENFERMAGEM
31001017062P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ADMINISTRAÇÃO
31001017064P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;COMUNICAÇÃO
31001017065P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;PLANEJAMENTO URBANO E REGIONAL
31001017066P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;SERVIÇO SOCIAL
31001017067P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;LINGÜÍSTICA
31001017069P8;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;LETRAS
31001017070P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;LETRAS
31001017071P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;LETRAS
31001017072P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARTES
31001017084P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;NUTRIÇÃO
31001017085P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;LETRAS
31001017086P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;LETRAS
31001017087P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;BIOQUÍMICA
31001017088P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARQUITETURA E URBANISMO
31001017089P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARTES
31001017096P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ECOLOGIA
31001017097P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;PSICOLOGIA
31001017098P8;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;PSICOLOGIA
31001017099P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;FARMÁCIA
31001017100P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;BIOTECNOLOGIA
31001017101P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;PSICOLOGIA
31001017102P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA DE PRODUÇÃO
31001017103P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARQUITETURA E URBANISMO
31001017105P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MORFOLOGIA
31001017106P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENSINO
31001017108P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;FISIOLOGIA
31001017110P8;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;CIÊNCIA DA COMPUTAÇÃO
31001017111P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;SAÚDE COLETIVA
31001017112P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;CIÊNCIA E TECNOLOGIA DE ALIMENTOS
31001017113P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ADMINISTRAÇÃO
31001017115P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA SANITÁRIA
31001017118P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ASTRONOMIA
31001017119P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;HISTÓRIA
31001017121P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;INTERDISCIPLINAR
31001017122P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENSINO
31001017123P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;FILOSOFIA
31001017125P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARQUEOLOGIA
31001017126P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENSINO
31001017127P8;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;INTERDISCIPLINAR
31001017128P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017130P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;DIREITO
31001017131P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;EDUCAÇÃO FÍSICA
31001017132P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA CIVIL
31001017134P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA CIVIL
31001017136P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA QUÍMICA
31001017137P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;CIÊNCIA POLÍTICA
31001017138P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;CIÊNCIA DA INFORMAÇÃO
31001017139P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;GEOCIÊNCIAS
31001017141P0;SUDESTE;RJ;FIOCRUZ;RIO DE JANEIRO;SAÚDE COLETIVA
31001017142P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARQUITETURA E URBANISMO
31001017143P3;SUDESTE;RJ;UFRJ;MACAÉ;FARMÁCIA
31001017144P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;BIOFÍSICA
31001017145P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;CIÊNCIAS AMBIENTAIS
31001017146P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;OCEANOGRAFIA
31001017147P9;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;IMUNOLOGIA
31001017148P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;BIOFÍSICA
31001017149P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;BIOQUÍMICA
31001017150P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARQUITETURA E URBANISMO
31001017151P6;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;NUTRIÇÃO
31001017152P2;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ODONTOLOGIA
31001017154P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;FARMÁCIA
31001017155P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;HISTÓRIA
31001017156P8;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENSINO
31001017157P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARTES
31001017158P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA DE MATERIAIS E METALÚRGICA
31001017159P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;INTERDISCIPLINAR
31001017160P5;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;CIÊNCIA POLÍTICA
31001017161P1;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;GEOCIÊNCIAS
31001017162P8;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;MEDICINA
31001017163P4;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;SAÚDE COLETIVA
31001017165P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;PSICOLOGIA
31001017166P3;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;COMUNICAÇÃO
31001017167P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;LINGÜÍSTICA
31001017170P0;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ARTES
31001017171P7;SUDESTE;RJ;UFRJ;RIO DE JANEIRO;ENGENHARIA SANITÁRIA
31002013001P0;SUDESTE;RJ;UFRRJ;SEROPÉDICA;QUÍMICA
31002013002P7;SUDESTE;RJ;UFRRJ;SEROPÉDICA;AGRONOMIA
31002013003P3;SUDESTE;RJ;UFRRJ;SEROPÉDICA;MEDICINA VETERINÁRIA
31002013006P2;SUDESTE;RJ;UFRRJ;SEROPÉDICA;CIÊNCIA E TECNOLOGIA DE ALIMENTOS
31002013007P9;SUDESTE;RJ;UFRRJ;SEROPÉDICA;SOCIOLOGIA
31002013010P0;SUDESTE;RJ;UFRRJ;SEROPÉDICA;AGRONOMIA
31002013011P6;SUDESTE;RJ;UFRRJ;SEROPÉDICA;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL
31002013012P2;SUDESTE;RJ;UFRRJ;SEROPÉDICA;ZOOLOGIA
31002013013P9;SUDESTE;RJ;UFRRJ;SEROPÉDICA;ZOOTECNIA
31002013014P5;SUDESTE;RJ;UFRRJ;SEROPÉDICA;ENGENHARIA QUÍMICA
31002013015P1;SUDESTE;RJ;UFRRJ;SEROPÉDICA;ADMINISTRAÇÃO
31002013016P8;SUDESTE;RJ;UFRRJ;SEROPÉDICA;MEDICINA VETERINÁRIA
31002013017P4;SUDESTE;RJ;UFRRJ;SEROPÉDICA;EDUCAÇÃO
31002013018P0;SUDESTE;RJ;UFRRJ;SEROPÉDICA;AGRONOMIA
31002013019P7;SUDESTE;RJ;UFRRJ;SEROPÉDICA;HISTÓRIA
31002013020P5;SUDESTE;RJ;UFRRJ;SEROPÉDICA;EDUCAÇÃO
31002013022P8;SUDESTE;RJ;UFRRJ;SEROPÉDICA;INTERDISCIPLINAR
31002013023P4;SUDESTE;RJ;UFRRJ;SEROPÉDICA;AGRONOMIA
31002013024P0;SUDESTE;RJ;UFRRJ;SEROPÉDICA;INTERDISCIPLINAR
31002013025P7;SUDESTE;RJ;UFRRJ;SEROPÉDICA;SOCIOLOGIA
31002013026P3;SUDESTE;RJ;UFRRJ;SEROPÉDICA;PLANEJAMENTO URBANO E REGIONAL
31002013027P0;SUDESTE;RJ;UFRRJ;SEROPÉDICA;PSICOLOGIA
31002013028P6;SUDESTE;RJ;UFRRJ;SEROPÉDICA;INTERDISCIPLINAR
31002013029P2;SUDESTE;RJ;UFRRJ;SEROPÉDICA;FISIOLOGIA
31002013030P0;SUDESTE;RJ;UFRRJ;SEROPÉDICA;ADMINISTRAÇÃO
31002013031P7;SUDESTE;RJ;UFRRJ;SEROPÉDICA;FILOSOFIA
31002013032P3;SUDESTE;RJ;UFRRJ;SEROPÉDICA;ENGENHARIA AGRÍCOLA
31002013156P4;SUDESTE;RJ;UFRRJ;SEROPÉDICA;ENSINO
31002013157P0;SUDESTE;RJ;UFRRJ;SEROPÉDICA;GEOGRAFIA
31003010001P0;SUDESTE;RJ;UFF;NITERÓI;EDUCAÇÃO
31003010002P7;SUDESTE;RJ;UFF;NITERÓI;FÍSICA
31003010003P3;SUDESTE;RJ;UFF;NITERÓI;MATEMÁTICA
31003010004P0;SUDESTE;RJ;UFF;NITERÓI;GEOCIÊNCIAS
31003010005P6;SUDESTE;RJ;UFF;NITERÓI;HISTÓRIA
31003010006P2;SUDESTE;RJ;UFF;NITERÓI;ENGENHARIA CIVIL
31003010015P1;SUDESTE;RJ;UFF;NITERÓI;MEDICINA VETERINÁRIA
31003010017P4;SUDESTE;RJ;UFF;NITERÓI;MEDICINA
31003010019P7;SUDESTE;RJ;UFF;NITERÓI;ENGENHARIA DE PRODUÇÃO
31003010021P1;SUDESTE;RJ;UFF;NITERÓI;MEDICINA
31003010022P8;SUDESTE;RJ;UFF;NITERÓI;ECONOMIA
31003010024P0;SUDESTE;RJ;UFF;RIO DE JANEIRO;MEDICINA VETERINÁRIA
31003010025P7;SUDESTE;RJ;UFF;NITERÓI;MEDICINA
31003010027P0;SUDESTE;RJ;UFF;NITERÓI;QUÍMICA
31003010029P2;SUDESTE;RJ;UFF;NITERÓI;GEOCIÊNCIAS
31003010031P7;SUDESTE;RJ;UFF;NITERÓI;ANTROPOLOGIA
31003010032P3;SUDESTE;RJ;UFF;VOLTA REDONDA;ENGENHARIA DE MATERIAIS E METALÚRGICA
31003010033P0;SUDESTE;RJ;UFF;NITERÓI;CIÊNCIA POLÍTICA
31003010036P9;SUDESTE;RJ;UFF;NITERÓI;ENGENHARIA MECÂNICA
31003010038P1;SUDESTE;RJ;UFF;NITERÓI;ARTES
31003010039P8;SUDESTE;RJ;UFF;NITERÓI;OCEANOGRAFIA
31003010040P6;SUDESTE;RJ;UFF;NITERÓI;COMUNICAÇÃO
31003010041P2;SUDESTE;RJ;UFF;NITERÓI;GEOGRAFIA
31003010042P9;SUDESTE;RJ;UFF;NITERÓI;FISIOLOGIA
31003010043P5;SUDESTE;RJ;UFF;NITERÓI;PSICOLOGIA
31003010044P1;SUDESTE;RJ;UFF;NITERÓI;INTERDISCIPLINAR
31003010045P8;SUDESTE;RJ;UFF;NITERÓI;ENGENHARIA DE PRODUÇÃO
31003010046P4;SUDESTE;RJ;UFF;NITERÓI;CIÊNCIA DA COMPUTAÇÃO
31003010048P7;SUDESTE;RJ;UFF;NITERÓI;MEDICINA
31003010049P3;SUDESTE;RJ;UFF;NITERÓI;SERVIÇO SOCIAL
31003010052P4;SUDESTE;RJ;UFF;NITERÓI;ARQUITETURA E URBANISMO
31003010053P0;SUDESTE;RJ;UFF;NITERÓI;ODONTOLOGIA
31003010054P7;SUDESTE;RJ;UFF;NITERÓI;ENGENHARIA ELÉTRICA
31003010055P3;SUDESTE;RJ;UFF;NITERÓI;ENFERMAGEM
31003010057P6;SUDESTE;RJ;UFF;NITERÓI;CIÊNCIAS AMBIENTAIS
31003010058P2;SUDESTE;RJ;UFF;NITERÓI;MICROBIOLOGIA
31003010061P3;SUDESTE;RJ;UFF;NITERÓI;SAÚDE COLETIVA
31003010062P0;SUDESTE;RJ;UFF;NITERÓI;CIÊNCIA POLÍTICA
31003010063P6;SUDESTE;RJ;UFF;NITERÓI;CIÊNCIA DA INFORMAÇÃO
31003010064P2;SUDESTE;RJ;UFF;NITERÓI;INTERDISCIPLINAR
31003010067P1;SUDESTE;RJ;UFF;NITERÓI;ENFERMAGEM
31003010068P8;SUDESTE;RJ;UFF;NITERÓI;ENGENHARIA QUÍMICA
31003010069P4;SUDESTE;RJ;UFF;NITERÓI;MEDICINA VETERINÁRIA
31003010071P9;SUDESTE;RJ;UFF;NITERÓI;INTERDISCIPLINAR
31003010072P5;SUDESTE;RJ;UFF;VOLTA REDONDA;INTERDISCIPLINAR
31003010073P1;SUDESTE;RJ;UFF;NITERÓI;LINGÜÍSTICA
31003010074P8;SUDESTE;RJ;UFF;NITERÓI;LETRAS
31003010075P4;SUDESTE;RJ;UFF;NITERÓI;SOCIOLOGIA
31003010076P0;SUDESTE;RJ;UFF;NITERÓI;MEDICINA
31003010077P7;SUDESTE;RJ;UFF;VOLTA REDONDA;ENGENHARIA MECÂNICA
31003010078P3;SUDESTE;RJ;UFF;NITERÓI;ADMINISTRAÇÃO
31003010079P0;SUDESTE;RJ;UFF;NITERÓI;BIOTECNOLOGIA
