"";"CD_PROGRAMA_IES";"Count";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"Prof_Perm";"Soma_patentes";"Soma_produtos";"Soma_Aplicativos";"Forma_docente";"Forma_discente";"Colabora_cientifica";"CP";"Indice_MI";"Patente_prof";"Produto_prof";"App_prof";"Indice_PT";"new_indice_PT"
"914";"31003010017P4";914;3;0;1980;0;4;15;4;0;0;6;333333333;475483351;544907407;488431023;266666667;0;0;88888889;702,066666666667
"915";"31003010019P7";915;3;0;1972;0;4;21;1;0;4;46031746;37704918;554497354;45745614;462330034;47619048;0;19047619;79365079;501,47619047619
"916";"31003010021P1";916;3;0;1985;0;4;29;0;0;0;425287356;34375;625;555357143;487348625;0;0;0;0;363,137931034483
"917";"31003010024P0";917;3;0;1987;0;5;19;11;0;0;456140351;85106383;384914729;422115385;337069212;578947368;0;0;192982456;554,263157894737
"918";"31003010027P0";918;3;0;1991;0;5;47;6;0;0;234042553;181818182;450644092;445486111;327997735;127659574;0;0;42553191;224,063829787234
"919";"31003010029P2";919;3;0;1991;0;4;24;1;0;0;569444444;291262136;507872504;445689655;453567185;41666667;0;0;13888889;438,791666666667
"920";"31003010031P7";920;3;0;1994;0;5;22;0;0;0;318181818;380952381;504487179;376388889;395002567;0;0;0;0;478,681818181818
"921";"31003010032P3";921;3;0;1994;0;4;11;2;0;5;636363636;313253012;443181818;441666667;458616283;181818182;0;454545455;212121212;957,363636363636
"922";"31003010033P0";922;3;0;1994;0;4;16;0;0;0;520833333;4;1;400925926;580439815;0;0;0;0;658,1875
"923";"31003010036P9";923;3;0;1995;0;5;19;0;2;2;298245614;24137931;383783784;346296296;317426251;0;105263158;105263158;70175439;554,263157894737
"924";"31003010038P1";924;3;0;1995;0;3;15;0;0;0;888888889;515151515;567119155;494444444;616401001;0;0;0;0;702,066666666667
"925";"31003010039P8";925;3;0;1996;0;4;19;0;0;1;666666667;324324324;53054481;524666667;511550617;0;0;52631579;1754386;554,263157894737
"926";"31003010040P6";926;3;0;1997;0;5;16;0;1;1;520833333;384615385;545907738;411111111;465616892;0;625;625;41666667;658,1875
"927";"31003010041P2";927;3;0;1999;0;6;29;0;0;0;206896552;168674699;547932331;433333333;339209229;0;0;0;0;363,137931034483
"928";"31003010042P9";928;3;0;1998;0;4;14;0;0;0;261904762;266666667;460565476;512280702;375354402;0;0;0;0;752,214285714286
"929";"31003010043P5";929;3;0;1999;0;4;21;0;0;0;317460317;13;398971861;424666667;317774711;0;0;0;0;501,47619047619
"930";"31003010044P1";930;3;0;1999;0;4;30;1;0;0;477777778;172413793;484025388;482107843;404081201;33333333;0;0;11111111;351,033333333333
"931";"31003010045P8";931;3;0;2000;1;4;31;3;2;4;419354839;34496124;1;49040404;56368003;96774194;64516129;129032258;96774194;339,709677419355
"932";"31003010046P4";932;3;0;1995;0;5;41;0;0;2;398373984;314049587;532826279;453455285;424676283;0;0;48780488;16260163;256,853658536585
"933";"31003010048P7";933;3;0;2002;0;4;22;0;0;0;545454545;23255814;47099662;517857143;441716612;0;0;0;0;478,681818181818
"934";"31003010049P3";934;3;0;2002;0;4;11;0;0;0;666666667;607142857;578125;466025641;579490041;0;0;0;0;957,363636363636
"935";"31003010052P4";935;3;0;2002;0;4;19;0;1;0;49122807;307692308;42877551;432666667;415090639;0;52631579;0;1754386;554,263157894737
"936";"31003010053P0";936;3;0;2002;0;4;29;0;0;0;252873563;95744681;385795355;370098039;27612791;0;0;0;0;363,137931034483
"937";"31003010054P7";937;3;0;2001;0;3;24;0;0;2;305555556;353658537;508809656;470138889;409540659;0;0;83333333;27777778;438,791666666667
"938";"31003010055P3";938;3;0;2002;1;3;13;1;10;4;128205128;340425532;494642857;323809524;32177076;76923077;769230769;307692308;384615385;810,076923076923
"939";"31003010058P2";939;3;0;2007;0;4;26;0;0;0;5;35;526499865;586538462;490759582;0;0;0;0;405,038461538462
"940";"31003010061P3";940;3;0;2008;0;3;18;0;0;0;444444444;546875;574502134;418055556;495969283;0;0;0;0;585,055555555556
"941";"31003010062P0";941;3;0;2008;0;3;15;0;0;0;8;675;875;36127451;677818627;0;0;0;0;702,066666666667
"942";"31003010063P6";942;3;0;2009;0;4;19;0;2;0;49122807;44;7;444444444;518918129;0;105263158;0;35087719;554,263157894737
"943";"31003010067P1";943;3;0;2009;0;4;22;0;8;2;348484848;217391304;473856209;39375;35837059;0;363636364;90909091;151515152;478,681818181818
"944";"31003010068P8";944;3;0;2009;0;3;13;5;0;0;358974359;673076923;518760611;56127451;528021601;384615385;0;0;128205128;810,076923076923
"945";"31003010072P5";945;3;0;2010;0;3;24;0;0;0;486111111;916666667;595192308;467241379;616302866;0;0;0;0;438,791666666667
